                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8532,                  9.108,                 4.1269,                0.93357,                0.00692,                0.00197,                0.00059,                 4.3337,                 10.056,                 4.0472,              0.0033265,              0.0033265,              0.0033265
                      2,                 3.1962,                 6.4313,                 3.4702,                0.08666,                 0.0223,                0.01453,                0.00465,                 3.3206,                  4.265,                 2.7142,              0.0065939,              0.0065939,              0.0065939
                      3,                 2.8927,                 4.3443,                 2.8529,                0.31422,                0.04534,                0.03149,                0.01168,                 2.8402,                  3.455,                 2.2296,              0.0097953,              0.0097953,              0.0097953
                      4,                 2.6259,                 3.4848,                 2.5076,                0.30756,                0.08783,                0.06258,                0.02374,                 2.4893,                 3.3171,                 1.9688,               0.009703,               0.009703,               0.009703
                      5,                 2.4255,                 3.1495,                 2.2802,                0.33364,                0.10542,                0.10308,                0.04161,                 2.3134,                 2.6884,                 1.8504,               0.009703,               0.009703,               0.009703
                      6,                 2.3164,                 2.9532,                 2.1841,                0.34164,                0.13503,                0.10901,                0.04046,                 2.3902,                 2.5278,                 1.8731,               0.009604,               0.009604,               0.009604
                      7,                 2.2482,                 2.8049,                 2.0922,                0.53094,                0.12408,                0.11688,                0.04661,                 2.1975,                 2.4728,                 1.7589,               0.009505,               0.009505,               0.009505
                      8,                 2.2023,                 2.6929,                 2.0558,                0.46043,                0.13825,                0.14389,                0.05519,                 2.1731,                 2.3129,                 1.7539,               0.009406,               0.009406,               0.009406
                      9,                  2.165,                 2.6353,                 2.0137,                0.47251,                0.12015,                0.12393,                0.05109,                 2.1306,                 2.6694,                   1.74,               0.009307,               0.009307,               0.009307
                     10,                 2.1202,                 2.5636,                 1.9747,                0.45725,                0.14924,                0.18269,                0.06661,                 2.1126,                 2.1927,                 1.7194,               0.009208,               0.009208,               0.009208
                     11,                 2.0825,                 2.5062,                 1.9615,                 0.4879,                0.19785,                0.18163,                0.07464,                 2.0814,                 2.0903,                 1.6697,               0.009109,               0.009109,               0.009109
                     12,                 2.0613,                 2.4547,                 1.9226,                0.45897,                 0.2054,                0.19104,                0.07598,                 2.1133,                 2.1319,                 1.6789,                0.00901,                0.00901,                0.00901
                     13,                 2.0208,                  2.373,                 1.8825,                0.56632,                0.19133,                0.19335,                0.08061,                 2.0108,                 2.0089,                 1.6265,               0.008911,               0.008911,               0.008911
                     14,                 2.0046,                 2.3272,                 1.8703,                0.72339,                0.16705,                0.20047,                0.08875,                 2.0078,                  2.019,                 1.6283,               0.008812,               0.008812,               0.008812
                     15,                 1.9913,                 2.2917,                 1.8593,                0.61152,                0.22934,                0.23061,                0.09956,                 1.9987,                 1.9284,                 1.6191,               0.008713,               0.008713,               0.008713
                     16,                 1.9821,                 2.2716,                 1.8286,                0.50176,                0.23764,                0.22895,                0.09592,                  2.036,                 1.9244,                 1.6372,               0.008614,               0.008614,               0.008614
                     17,                 1.9573,                  2.198,                 1.8015,                0.63033,                0.21898,                0.22034,                0.09806,                 1.9675,                 1.9671,                 1.6021,               0.008515,               0.008515,               0.008515
                     18,                 1.9254,                 2.1683,                 1.7826,                0.65314,                0.20832,                0.23509,                0.09984,                 1.9466,                 1.8004,                   1.58,               0.008416,               0.008416,               0.008416
                     19,                 1.9195,                 2.1329,                 1.7679,                0.75181,                0.21421,                0.30294,                  0.127,                 1.9329,                 1.7416,                 1.5821,               0.008317,               0.008317,               0.008317
                     20,                 1.9068,                 2.1301,                 1.7619,                0.65365,                0.22889,                0.28017,                0.11783,                 1.9276,                 1.7496,                 1.5657,               0.008218,               0.008218,               0.008218
                     21,                 1.9061,                 2.0895,                 1.7639,                0.69543,                0.21953,                0.28298,                0.11848,                  1.923,                 1.6779,                 1.5765,               0.008119,               0.008119,               0.008119
                     22,                 1.8935,                 2.0606,                 1.7464,                 0.6788,                0.25729,                 0.3046,                0.13208,                 1.9002,                 1.6806,                 1.5658,                0.00802,                0.00802,                0.00802
                     23,                 1.8805,                 2.0189,                 1.7192,                0.56998,                0.27634,                0.30615,                0.13235,                  1.891,                 1.5941,                 1.5409,               0.007921,               0.007921,               0.007921
                     24,                 1.8677,                 2.0154,                 1.7091,                0.68056,                0.28797,                0.31572,                0.12906,                 1.8535,                 1.6321,                 1.5363,               0.007822,               0.007822,               0.007822
                     25,                 1.8466,                 1.9809,                 1.6943,                0.60718,                0.26907,                0.30449,                0.14117,                  1.852,                  1.539,                 1.5193,               0.007723,               0.007723,               0.007723
                     26,                 1.8482,                 1.9863,                 1.7046,                0.69564,                 0.2951,                0.31007,                0.14225,                 1.8213,                 1.5347,                 1.5091,               0.007624,               0.007624,               0.007624
                     27,                 1.8255,                 1.9509,                 1.6933,                0.65445,                0.34304,                0.34263,                0.15342,                 1.8265,                 1.5055,                 1.5087,               0.007525,               0.007525,               0.007525
                     28,                 1.8108,                 1.9024,                 1.6713,                0.60477,                0.32601,                0.33965,                0.15542,                 1.7948,                 1.5683,                 1.4965,               0.007426,               0.007426,               0.007426
                     29,                  1.827,                 1.9161,                 1.6611,                0.65342,                0.38698,                0.37149,                0.16653,                 1.8158,                 1.4554,                  1.498,               0.007327,               0.007327,               0.007327
                     30,                 1.8194,                 1.9067,                 1.6627,                0.79601,                0.26901,                0.35715,                0.16618,                 1.8362,                  1.504,                 1.5102,               0.007228,               0.007228,               0.007228
                     31,                 1.8242,                 1.8875,                 1.6526,                0.76672,                 0.2982,                0.36879,                0.16351,                 1.7829,                 1.4693,                 1.4828,               0.007129,               0.007129,               0.007129
                     32,                 1.7927,                 1.8488,                 1.6426,                0.69038,                0.37174,                0.38414,                0.17164,                 1.8151,                 1.4815,                 1.4906,                0.00703,                0.00703,                0.00703
                     33,                 1.8082,                 1.8499,                 1.6468,                0.73126,                0.32314,                0.38097,                0.17541,                 1.7591,                  1.435,                 1.4686,               0.006931,               0.006931,               0.006931
                     34,                 1.7706,                 1.8043,                 1.6285,                 0.7723,                0.30207,                 0.3862,                0.17961,                 1.7466,                 1.4163,                 1.4636,               0.006832,               0.006832,               0.006832
                     35,                 1.7726,                 1.7832,                  1.614,                0.81944,                0.30776,                0.41945,                0.18433,                 1.7406,                 1.4295,                 1.4668,               0.006733,               0.006733,               0.006733
                     36,                  1.752,                 1.7913,                 1.6118,                0.75784,                0.34309,                0.39143,                0.17728,                  1.756,                 1.4087,                  1.456,               0.006634,               0.006634,               0.006634
                     37,                 1.7524,                 1.7886,                 1.6087,                0.72287,                0.35615,                0.42104,                0.20024,                 1.7457,                 1.3905,                 1.4568,               0.006535,               0.006535,               0.006535
                     38,                 1.7474,                 1.7592,                 1.5993,                 0.6561,                0.43628,                0.44677,                0.20563,                 1.7254,                 1.3809,                 1.4573,               0.006436,               0.006436,               0.006436
                     39,                 1.7467,                 1.7508,                 1.6024,                 0.7558,                0.33529,                0.42192,                0.19668,                 1.7129,                 1.3588,                 1.4424,               0.006337,               0.006337,               0.006337
                     40,                 1.7374,                 1.7322,                 1.5899,                0.66163,                0.38061,                 0.4128,                0.19596,                 1.7117,                 1.3647,                 1.4393,               0.006238,               0.006238,               0.006238
                     41,                 1.7164,                 1.7211,                 1.5818,                0.67353,                0.34429,                0.40773,                0.18908,                 1.7198,                 1.3607,                 1.4386,               0.006139,               0.006139,               0.006139
                     42,                 1.7316,                 1.7326,                 1.5846,                0.63827,                0.38785,                0.41676,                0.19497,                 1.7262,                 1.3391,                 1.4385,                0.00604,                0.00604,                0.00604
                     43,                 1.7264,                 1.7134,                 1.5702,                0.60012,                0.40928,                 0.4367,                0.21285,                 1.6969,                 1.3293,                 1.4289,               0.005941,               0.005941,               0.005941
                     44,                 1.6912,                 1.6843,                 1.5634,                0.59453,                0.45336,                0.45668,                0.22346,                 1.6997,                 1.3182,                  1.433,               0.005842,               0.005842,               0.005842
                     45,                  1.716,                 1.7209,                 1.5749,                0.68612,                0.43426,                0.44782,                0.21496,                 1.7066,                 1.3178,                 1.4277,               0.005743,               0.005743,               0.005743
                     46,                 1.6947,                 1.6831,                 1.5591,                0.51936,                0.44429,                0.44606,                0.21622,                  1.691,                 1.3061,                   1.42,               0.005644,               0.005644,               0.005644
                     47,                 1.6951,                 1.6735,                 1.5733,                0.62041,                0.42114,                 0.4668,                0.22481,                 1.6815,                 1.2905,                 1.4208,               0.005545,               0.005545,               0.005545
                     48,                 1.6964,                 1.6685,                 1.5652,                0.68056,                0.42998,                 0.4642,                0.22925,                 1.6894,                 1.2937,                  1.422,               0.005446,               0.005446,               0.005446
                     49,                 1.6827,                  1.661,                 1.5658,                 0.7567,                0.40985,                0.44593,                 0.2147,                 1.6702,                 1.2895,                 1.4126,               0.005347,               0.005347,               0.005347
                     50,                  1.667,                 1.6318,                  1.535,                0.61544,                0.41368,                0.46105,                0.23006,                 1.6654,                 1.2889,                 1.4081,               0.005248,               0.005248,               0.005248
                     51,                 1.6485,                 1.6331,                 1.5296,                0.69665,                0.44082,                0.47524,                0.24028,                 1.6609,                 1.2723,                 1.4045,               0.005149,               0.005149,               0.005149
                     52,                 1.6617,                  1.617,                 1.5345,                0.66485,                0.45541,                0.46745,                0.23256,                 1.6618,                 1.2505,                 1.4064,                0.00505,                0.00505,                0.00505
                     53,                 1.6603,                 1.6228,                 1.5428,                0.70905,                0.45886,                0.48589,                 0.2432,                 1.6584,                 1.2451,                 1.4033,               0.004951,               0.004951,               0.004951
                     54,                 1.6466,                 1.6083,                 1.5292,                0.69782,                0.45249,                0.47863,                0.24368,                 1.6526,                 1.2583,                 1.3945,               0.004852,               0.004852,               0.004852
                     55,                 1.6467,                   1.58,                  1.516,                0.62626,                0.47174,                0.49377,                0.25827,                 1.6428,                 1.2401,                 1.3961,               0.004753,               0.004753,               0.004753
                     56,                  1.632,                 1.5905,                 1.5173,                0.62057,                0.44777,                0.49102,                0.24459,                  1.643,                 1.2362,                 1.3942,               0.004654,               0.004654,               0.004654
                     57,                 1.6464,                 1.5821,                 1.5233,                0.61938,                 0.4465,                0.51053,                0.24478,                 1.6332,                 1.2355,                 1.3878,               0.004555,               0.004555,               0.004555
                     58,                  1.628,                 1.5676,                 1.5151,                0.74912,                0.44984,                0.51839,                0.25662,                 1.6378,                 1.2244,                 1.3901,               0.004456,               0.004456,               0.004456
                     59,                 1.6324,                 1.5883,                 1.5103,                0.66171,                 0.4844,                 0.4995,                0.25326,                 1.6369,                 1.2309,                 1.3855,               0.004357,               0.004357,               0.004357
                     60,                 1.6276,                  1.553,                 1.5216,                0.72517,                0.45823,                0.51792,                0.26265,                 1.6365,                 1.2194,                 1.3913,               0.004258,               0.004258,               0.004258
                     61,                 1.6179,                 1.5558,                 1.4996,                0.71925,                0.46079,                0.49931,                0.25244,                 1.6281,                 1.2189,                 1.3921,               0.004159,               0.004159,               0.004159
                     62,                 1.6085,                 1.5219,                 1.4959,                0.64182,                0.47862,                0.50351,                0.25825,                 1.6238,                 1.2121,                 1.3878,                0.00406,                0.00406,                0.00406
                     63,                 1.6161,                 1.5455,                  1.505,                0.70793,                0.46616,                0.50169,                0.24831,                 1.6234,                 1.2014,                 1.3849,               0.003961,               0.003961,               0.003961
                     64,                 1.5941,                 1.5087,                 1.4847,                 0.5907,                   0.47,                0.50733,                0.26125,                 1.6271,                 1.1949,                 1.3871,               0.003862,               0.003862,               0.003862
                     65,                 1.5926,                 1.5027,                 1.4862,                0.58702,                0.47363,                0.50352,                 0.2668,                 1.6232,                 1.1925,                 1.3821,               0.003763,               0.003763,               0.003763
                     66,                 1.5987,                 1.5113,                 1.4924,                0.60024,                0.47237,                0.51167,                0.26962,                 1.6225,                 1.1903,                 1.3812,               0.003664,               0.003664,               0.003664
                     67,                 1.5876,                 1.5147,                 1.4884,                0.66411,                0.45387,                0.52222,                0.26577,                 1.6183,                  1.186,                 1.3781,               0.003565,               0.003565,               0.003565
                     68,                 1.5799,                 1.4936,                 1.4738,                0.69191,                0.47641,                0.52229,                0.26954,                 1.6134,                 1.1786,                 1.3782,               0.003466,               0.003466,               0.003466
                     69,                 1.5812,                 1.4629,                 1.4669,                 0.7356,                0.45261,                0.50814,                0.25621,                 1.6144,                  1.184,                 1.3732,               0.003367,               0.003367,               0.003367
                     70,                 1.5781,                 1.4695,                 1.4666,                0.64105,                 0.4604,                0.51203,                0.26826,                 1.6264,                 1.1823,                 1.3802,               0.003268,               0.003268,               0.003268
                     71,                 1.5735,                 1.4757,                 1.4552,                0.64038,                 0.4704,                 0.5152,                0.26638,                 1.6165,                 1.1664,                 1.3778,               0.003169,               0.003169,               0.003169
                     72,                 1.5617,                 1.4579,                 1.4714,                0.51357,                0.56261,                 0.5483,                 0.2772,                 1.6107,                 1.1685,                 1.3744,                0.00307,                0.00307,                0.00307
                     73,                 1.5558,                 1.4555,                 1.4658,                0.61401,                0.48049,                 0.5576,                 0.2862,                 1.6035,                 1.1661,                 1.3706,               0.002971,               0.002971,               0.002971
                     74,                 1.5602,                 1.4423,                 1.4624,                0.61055,                0.48603,                0.55457,                0.28483,                 1.6018,                 1.1588,                  1.368,               0.002872,               0.002872,               0.002872
                     75,                 1.5473,                 1.4491,                 1.4507,                0.62121,                0.48165,                0.55732,                0.28426,                 1.5978,                  1.154,                 1.3637,               0.002773,               0.002773,               0.002773
                     76,                   1.54,                 1.4258,                 1.4465,                0.63084,                 0.4907,                0.55862,                0.29066,                 1.6045,                 1.1493,                 1.3665,               0.002674,               0.002674,               0.002674
                     77,                 1.5342,                 1.4162,                 1.4382,                0.61324,                0.50451,                0.55433,                0.28755,                 1.6012,                 1.1519,                 1.3666,               0.002575,               0.002575,               0.002575
                     78,                 1.5208,                 1.4291,                 1.4339,                0.60429,                0.49757,                0.55216,                0.28669,                 1.6031,                 1.1567,                 1.3673,               0.002476,               0.002476,               0.002476
                     79,                 1.5247,                 1.4062,                 1.4323,                0.53048,                0.60591,                0.54647,                0.27929,                  1.604,                 1.1531,                  1.366,               0.002377,               0.002377,               0.002377
                     80,                 1.5161,                 1.3881,                 1.4262,                0.62618,                0.48915,                0.54173,                0.27572,                 1.6042,                 1.1506,                 1.3656,               0.002278,               0.002278,               0.002278
                     81,                 1.5346,                 1.4075,                 1.4479,                0.62002,                0.49983,                0.55135,                0.28791,                  1.601,                 1.1498,                 1.3638,               0.002179,               0.002179,               0.002179
                     82,                 1.5186,                 1.4019,                  1.432,                0.59265,                0.52627,                0.55889,                0.28619,                 1.5999,                 1.1419,                 1.3634,                0.00208,                0.00208,                0.00208
                     83,                 1.5187,                  1.388,                 1.4268,                0.59686,                 0.5036,                0.56142,                0.29574,                 1.6021,                 1.1456,                 1.3629,               0.001981,               0.001981,               0.001981
                     84,                 1.5083,                 1.3907,                 1.4219,                0.62447,                0.50926,                0.56885,                  0.298,                 1.6021,                 1.1413,                 1.3642,               0.001882,               0.001882,               0.001882
                     85,                 1.5062,                 1.3699,                 1.4212,                0.62506,                0.48935,                0.56796,                0.29833,                 1.6016,                 1.1378,                  1.363,               0.001783,               0.001783,               0.001783
                     86,                 1.5095,                   1.39,                 1.4166,                0.62066,                0.50032,                0.57264,                0.30143,                 1.6019,                 1.1389,                 1.3636,               0.001684,               0.001684,               0.001684
                     87,                 1.4921,                 1.3589,                 1.4094,                 0.6415,                0.49174,                0.57141,                0.29989,                 1.6007,                 1.1352,                  1.363,               0.001585,               0.001585,               0.001585
                     88,                 1.4939,                 1.3665,                 1.4076,                0.62685,                0.49741,                0.56935,                0.29745,                    1.6,                 1.1325,                 1.3614,               0.001486,               0.001486,               0.001486
                     89,                 1.4834,                 1.3532,                 1.4079,                0.61588,                0.50247,                0.56467,                0.29483,                 1.5972,                 1.1334,                 1.3609,               0.001387,               0.001387,               0.001387
                     90,                 1.4724,                 1.3496,                  1.404,                0.59888,                0.51905,                0.56262,                0.29423,                 1.5958,                 1.1324,                 1.3595,               0.001288,               0.001288,               0.001288
                     91,                 1.5225,                 1.3001,                  1.425,                0.61298,                0.52535,                0.56465,                0.29363,                 1.5971,                 1.1329,                 1.3594,               0.001189,               0.001189,               0.001189
                     92,                 1.5004,                 1.2855,                  1.414,                0.61602,                0.52904,                 0.5664,                 0.2937,                 1.5982,                 1.1319,                 1.3584,                0.00109,                0.00109,                0.00109
                     93,                 1.4915,                 1.2615,                 1.4131,                0.60837,                0.53119,                0.56766,                0.29694,                 1.5978,                 1.1313,                 1.3585,               0.000991,               0.000991,               0.000991
                     94,                 1.4806,                 1.2527,                 1.3996,                0.61191,                0.53172,                0.56959,                0.29927,                  1.597,                 1.1304,                 1.3585,               0.000892,               0.000892,               0.000892
                     95,                 1.4916,                 1.2429,                 1.4073,                0.60668,                0.52801,                0.57315,                0.30299,                 1.5967,                 1.1279,                  1.359,               0.000793,               0.000793,               0.000793
                     96,                 1.4677,                 1.2381,                 1.3978,                0.58638,                0.55067,                0.57402,                 0.3022,                 1.5972,                 1.1253,                 1.3587,               0.000694,               0.000694,               0.000694
                     97,                  1.463,                 1.2265,                 1.3943,                 0.5887,                0.56067,                0.57384,                0.30159,                 1.5979,                  1.126,                 1.3591,               0.000595,               0.000595,               0.000595
                     98,                 1.4653,                 1.2197,                 1.3828,                0.59392,                0.57875,                0.57681,                0.30338,                 1.5993,                  1.126,                  1.359,               0.000496,               0.000496,               0.000496
                     99,                 1.4526,                 1.2167,                 1.3885,                0.62386,                0.54359,                0.57724,                0.30624,                 1.5995,                  1.126,                 1.3599,               0.000397,               0.000397,               0.000397
                    100,                 1.4426,                  1.198,                 1.3741,                0.64706,                 0.5259,                0.57781,                0.30679,                 1.5992,                 1.1253,                 1.3599,               0.000298,               0.000298,               0.000298
